Month Year,Year,Credit Rating,S_DollarLenderYield,Value Loans (agg),S_LYNetP,S_annualNetP,L_DollarLenderYield,L_LOA,L_LYNetP,L_annualNetP,estYield,Estimated Yield,estRateDiff
April-2011,2011,B,55805.1975,391925,55805.1975,-16948.5020756,59.0,59,59.0,59.0,14.2387440199,-4.32442484548,18.5631688654
April-2011,2011,C,66059.3391,357209,66059.3391,-3701.51988979,48.0,48,48.0,48.0,18.4931900092,-1.03623365867,19.5294236679
April-2011,2011,D,242494.8857,993843,242494.8857,-10723.5024473,160.0,160,160.0,160.0,24.3997176315,-1.07899360837,25.4787112398
April-2011,2011,E,149427.5649,497451,149427.5649,-51385.2281127,90.0,90,90.0,90.0,30.0386500178,-10.3297064661,40.3683564839
April-2011,2011,HR,80519.8013,262287,80519.8013,-24893.86503,79.0,79,79.0,79.0,30.6991201623,-9.49107848653,40.1901986488
April-2012,2012,A,98410.2731,895311,98410.2731,-63655.5095342,79.0,79,79.0,79.0,10.9917417635,-7.10987685108,18.1016186146
April-2012,2012,AA,17095.817,250122,17095.817,278.423820267,21.0,21,21.0,21.0,6.83499132423,0.111315206286,6.72367611795
April-2012,2012,B,201865.148,1203416,201865.148,-127088.184248,136.0,136,136.0,136.0,16.7743446988,-10.5606194573,27.334964156
April-2012,2012,C,257299.5911,1224989,257299.5911,-160275.917502,149.0,149,149.0,149.0,21.0042368625,-13.0838658552,34.0881027178
April-2012,2012,D,219539.9853,900819,219539.9853,-184333.280863,108.0,108,108.0,108.0,24.3711539499,-20.4628544539,44.8340084038
April-2012,2012,E,85111.19,294300,85111.19,-46502.2980775,86.0,86,86.0,86.0,28.9198742779,-15.8009847358,44.7208590138
April-2012,2012,HR,181398.381,589530,181398.381,-146545.658378,168.0,168,168.0,168.0,30.77,-24.8580493576,55.6280493576
April-2013,2013,A,49389.5342,458314,49389.5342,29923.9117902,39.0,39,39.0,39.0,10.7763529371,6.52912889202,4.24722404505
April-2013,2013,AA,9704.641,142540,9704.641,-12218.4768598,16.0,16,16.0,16.0,6.80836326645,-8.57196356093,15.3803268274
April-2013,2013,B,85448.91,583900,85448.91,11991.7983509,47.0,47,47.0,47.0,14.634168522,2.0537417967,12.5804267253
April-2013,2013,C,145894.2296,749574,145894.2296,-51077.334814,62.0,62,62.0,62.0,19.4636192824,-6.81418176377,26.2778010462
April-2013,2013,D,95623.09,407100,95623.09,-4637.94091557,49.0,49,49.0,49.0,23.4888454925,-1.13926330522,24.6281087977
April-2013,2013,E,44602.15,164500,44602.15,-21307.3498387,44.0,44,44.0,44.0,27.113768997,-12.9527962545,40.0665652515
April-2013,2013,HR,10861.72,35800,10861.72,-2665.9854248,10.0,10,10.0,10.0,30.34,-7.44688666144,37.7868866614
August-2006,2006,A,73050.27,562986,73050.27,-22799.4814462,61.0,61,61.0,61.0,12.9755038314,-4.04974216876,17.0252460001
August-2006,2006,AA,50905.7833,480434,50905.7833,-11957.3237982,68.0,68,68.0,68.0,10.5957911597,-2.48885878148,13.0846499411
August-2006,2006,B,84242.6036,551933,84242.6036,-52708.1513654,77.0,77,77.0,77.0,15.2631938297,-9.54973726257,24.8129310923
August-2006,2006,C,107365.234,605610,107365.234,-94968.4392805,112.0,112,112.0,112.0,17.7284447086,-15.6814516406,33.4098963492
August-2006,2006,D,166514.6393,771893,166514.6393,-77399.2311561,136.0,136,136.0,136.0,21.5722437307,-10.0271969245,31.5994406551
August-2006,2006,E,138292.292,538298,138292.292,-86717.7950168,138.0,138,138.0,138.0,25.6906568481,-16.1096260838,41.8002829319
August-2006,2006,HR,74499.78,287342,74499.78,-109254.375106,124.0,124,124.0,124.0,25.9272156524,-38.0224175742,63.9496332267
August-2006,2006,NC,4377.1,17452,4377.1,-13345.1555939,8.0,8,8.0,8.0,25.0807930323,-76.46777214,101.548565172
August-2007,2007,A,131431.3112,998227,131431.3112,-81913.5362901,100.0,100,100.0,100.0,13.1664752807,-8.20590269449,21.3723779752
August-2007,2007,AA,92787.5194,917232,92787.5194,-61351.4993781,89.0,89,89.0,89.0,10.1160360083,-6.68876569702,16.8048017054
August-2007,2007,B,179197.1693,1245195,179197.1693,-199379.403679,137.0,137,137.0,137.0,14.3910929051,-16.0119020458,30.4029949509
August-2007,2007,C,229242.6644,1321626,229242.6644,-146622.672853,203.0,203,203.0,203.0,17.3455020104,-11.0941123172,28.4396143276
August-2007,2007,D,176851.9165,871625,176851.9165,-90595.7407846,173.0,173,173.0,173.0,20.2899086763,-10.3938896641,30.6837983404
August-2007,2007,E,82864.6515,355656,82864.6515,-49288.5412377,103.0,103,103.0,103.0,23.2991012383,-13.8584872005,37.1575884387
August-2007,2007,HR,39307.2867,170651,39307.2867,-40946.5069844,72.0,72,72.0,72.0,23.033727725,-23.9942965376,47.0280242626
August-2007,2008,AA,147.0,3000,147.0,125.822412168,1.0,1,1.0,1.0,4.9,4.19408040559,0.705919594411
August-2007,2008,B,2535.0,15500,2535.0,1681.26878255,2.0,2,2.0,2.0,16.3548387097,10.8468953713,5.50794333838
August-2007,2008,C,253.0,2000,253.0,119.991726459,1.0,1,1.0,1.0,12.65,5.99958632297,6.65041367703
August-2008,2008,A,190094.541,1187527,190094.541,-90332.2527475,137.0,137,137.0,137.0,16.0075973852,-7.6067535936,23.6143509788
August-2008,2008,AA,188840.6535,1482857,188840.6535,-102932.022929,161.0,161,161.0,161.0,12.7349200564,-6.94146656956,19.6763866259
August-2008,2008,B,252525.2496,1375928,252525.2496,-147193.054656,197.0,197,197.0,197.0,18.3530860336,-10.6977294347,29.0508154682
August-2008,2008,C,201803.8326,992622,201803.8326,-93691.9936135,225.0,225,225.0,225.0,20.3303808096,-9.43883911635,29.769219926
August-2008,2008,D,134693.4104,633361,134693.4104,-19390.4865657,196.0,196,196.0,196.0,21.2664515813,-3.06152203336,24.3279736147
August-2008,2008,E,61805.03,204049,61805.03,5649.52031575,104.0,104,104.0,104.0,30.2893079603,2.76870767107,27.5206002893
August-2008,2008,HR,54319.3125,179113,54319.3125,-32406.5730082,104.0,104,104.0,104.0,30.3268397604,-18.0928090134,48.4196487738
August-2009,2009,A,33370.1201,323739,33370.1201,5212.10293495,70.0,70,70.0,70.0,10.3077232277,1.60997066617,8.69775256149
August-2009,2009,AA,20687.475,224150,20687.475,-5296.01511008,41.0,41,41.0,41.0,9.22929957618,-2.36271028779,11.592009864
August-2009,2009,B,18468.41,129440,18468.41,8570.54238682,21.0,21,21.0,21.0,14.2679310878,6.6212472086,7.64668387916
