Year,State,Category,Total,Average,Count
2008,MA,Other/NA,153144,5104.8,30
2008,MA,Student,90051,5002.83333333,18
2008,MD,Auto & Home,206800,8991.30434783,23
2008,MD,Business,516500,12597.5609756,41
2008,MD,Debt,975559,7681.56692913,127
2008,MD,Medical & Personal,343019,5914.12068966,58
2008,MD,Other/NA,198954,4737.0,42
2008,MD,Student,87725,4386.25,20
2008,ME,Auto & Home,1000,1000.0,1
2008,ME,Business,88500,8850.0,10
2008,ME,Debt,172808,5760.26666667,30
2008,ME,Medical & Personal,38000,3166.66666667,12
2008,ME,Other/NA,10450,2090.0,5
2008,ME,Student,2000,2000.0,1
2008,MI,Auto & Home,140311,4838.31034483,29
2008,MI,Business,472435,7744.83606557,61
2008,MI,Debt,1107855,6478.68421053,171
2008,MI,Medical & Personal,250494,3295.97368421,76
2008,MI,Other/NA,133080,3802.28571429,35
2008,MI,Student,66249,3154.71428571,21
2008,MN,Auto & Home,195825,5021.15384615,39
2008,MN,Business,549021,11437.9375,48
2008,MN,Debt,900971,6213.59310345,145
2008,MN,Medical & Personal,477781,5308.67777778,90
2008,MN,Other/NA,168050,4308.97435897,39
2008,MN,Student,58990,4213.57142857,14
2008,MO,Auto & Home,216100,5686.84210526,38
2008,MO,Business,383878,7108.85185185,54
2008,MO,Debt,645692,5207.19354839,124
2008,MO,Medical & Personal,318249,4359.57534247,73
2008,MO,Other/NA,101703,2905.8,35
2008,MO,Student,32600,2716.66666667,12
2008,MS,Auto & Home,22000,3142.85714286,7
2008,MS,Business,169700,6788.0,25
2008,MS,Debt,96839,5379.94444444,18
2008,MS,Medical & Personal,45050,3754.16666667,12
2008,MS,Other/NA,40200,3654.54545455,11
2008,MS,Student,3500,1750.0,2
2008,MT,Auto & Home,8500,2833.33333333,3
2008,MT,Business,60500,7562.5,8
2008,MT,Debt,90300,5311.76470588,17
2008,MT,Medical & Personal,16500,2357.14285714,7
2008,MT,Other/NA,56950,4067.85714286,14
2008,MT,Student,7200,3600.0,2
2008,NC,Auto & Home,94600,3941.66666667,24
2008,NC,Business,949787,6784.19285714,140
2008,NC,Debt,534950,5943.88888889,90
2008,NC,Medical & Personal,210199,4042.28846154,52
2008,NC,Other/NA,183849,3911.68085106,47
2008,NC,Student,23000,4600.0,5
2008,ND,Auto & Home,8000,4000.0,2
2008,ND,Business,15000,7500.0,2
2008,ND,Debt,50550,3370.0,15
2008,ND,Medical & Personal,18400,3066.66666667,6
2008,NE,Auto & Home,25750,5150.0,5
2008,NE,Business,25000,5000.0,5
2008,NE,Debt,179891,4996.97222222,36
2008,NE,Medical & Personal,42500,4250.0,10
2008,NE,Other/NA,27200,3885.71428571,7
2008,NE,Student,16500,4125.0,4
2008,NH,Auto & Home,34795,5799.16666667,6
2008,NH,Business,22250,5562.5,4
2008,NH,Debt,288755,9957.06896552,29
2008,NH,Medical & Personal,82002,6833.5,12
2008,NH,Other/NA,6000,1500.0,4
2008,NH,Student,4325,1441.66666667,3
2008,NJ,Auto & Home,129750,6487.5,20
2008,NJ,Business,203300,8839.13043478,23
2008,NJ,Debt,640239,6884.29032258,93
